time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2021-10-09T10:58:30.852Z,-21.1717,174.5286,520.42,6.9,mww,,31,4.761,0.6,us,us6000ft9g,2021-10-10T09:33:53.327Z,"Vanuatu region",earthquake,5.3,3.8,0.05,38,reviewed,us,us
2021-10-09T10:39:14.075Z,-4.4957,153.4247,63.15,5.1,mb,,40,1.293,0.96,us,us6000ft9c,2021-10-09T12:00:48.926Z,"129 km E of Kokopo, Papua New Guinea",earthquake,9.1,5.3,0.05,129,reviewed,us,us
2021-10-09T09:33:12.911Z,15.7385,-92.2117,191.74,4.6,mb,,123,0.545,0.6,us,us6000ft8y,2021-10-10T07:59:41.145Z,"2 km SSW of Nueva Libertad, Mexico",earthquake,8.2,6,0.044,154,reviewed,us,us
2021-10-09T07:19:27.745Z,50.0361,149.8258,447.74,5.6,mww,,49,5.615,0.82,us,us6000ft86,2021-10-10T07:23:08.143Z,"Sea of Okhotsk",earthquake,8.5,5.9,0.068,21,reviewed,us,us
2021-10-09T06:54:12.422Z,63.3749,158.3473,10,4.8,mb,,104,5.263,0.62,us,us6000ft7x,2021-10-09T07:12:04.040Z,"161 km NE of Omsukchan, Russia",earthquake,8.6,1.9,0.077,52,reviewed,us,us
2021-10-09T06:05:32.139Z,32.38,49.7538,10,4.8,mb,,45,4.329,0.65,us,us6000ft7j,2021-10-09T06:21:31.040Z,"64 km NE of Masjed Soleymān, Iran",earthquake,7.6,1.9,0.076,53,reviewed,us,us
2021-10-09T05:50:11.841Z,-15.5823,-71.6865,10,4.7,mb,,140,2.908,0.85,us,us6000ft78,2021-10-09T06:09:54.040Z,"7 km N of Ichupampa, Peru",earthquake,9.7,1.9,0.083,44,reviewed,us,us
2021-10-09T05:36:57.197Z,30.3562,94.827,34.55,4.9,mb,,111,5.446,0.48,us,us6000ft7k,2021-10-09T06:17:12.040Z,"207 km NNE of Shi Yomi, India",earthquake,12.3,5.9,0.091,38,reviewed,us,us
2021-10-09T05:32:00.520Z,40.0948,142.1566,61.6,5,mb,,72,1.084,0.66,us,us6000ft6w,2021-10-09T12:32:00.101Z,"53 km NNE of Miyako, Japan",earthquake,7.3,6.7,0.046,150,reviewed,us,us
2021-10-09T04:47:50.386Z,-15.5869,-71.8603,24.47,5.6,mww,,115,3.028,1.29,us,us6000ft6j,2021-10-10T04:51:43.281Z,"6 km WNW of Madrigal, Peru",earthquake,5.7,4.7,0.063,24,reviewed,us,us
2021-10-09T02:47:34.421Z,42.4005,141.9753,92.66,4.6,mb,,75,0.958,0.57,us,us6000ft5x,2021-10-09T03:10:48.491Z,"33 km WNW of Shizunai-furukawachō, Japan",earthquake,5.6,7.1,0.033,273,reviewed,us,us
2021-10-08T23:16:26.459Z,32.3521,49.7749,10,5.1,mb,,40,4.36,1.03,us,us6000ft57,2021-10-09T23:22:10.862Z,"64 km NE of Masjed Soleymān, Iran",earthquake,7.7,1.8,0.041,189,reviewed,us,us
2021-10-08T22:55:34.652Z,-60.1912,-24.2339,10,5,mb,,70,8.89,0.79,us,us6000ft50,2021-10-09T23:15:44.040Z,"South Sandwich Islands region",earthquake,10,1.8,0.076,55,reviewed,us,us
2021-10-08T21:39:25.346Z,-56.5869,-25.6458,13.97,5.1,mww,,91,6.587,0.79,us,us6000ft4i,2021-10-08T22:04:00.040Z,"South Sandwich Islands region",earthquake,11.1,4,0.098,10,reviewed,us,us
2021-10-08T18:28:23.970Z,18.0105,-65.3871,11,4.8,ml,34,249,0.1867,0.22,pr,pr2021281003,2021-10-10T14:08:52.446Z,"13 km SE of Esperanza, Puerto Rico",earthquake,1.48,0.89,0.12,26,reviewed,pr,pr
2021-10-08T16:47:26.868Z,-35.4511,141.0099,10,4.9,mb,,63,2.297,1.12,us,us6000ft1w,2021-10-11T01:25:48.511Z,"93 km NE of Keith, Australia",earthquake,6.7,1.9,0.09,39,reviewed,us,us
2021-10-08T15:53:38.307Z,-19.4451,-173.4776,10,4.8,mb,,168,5.74,0.61,us,us6000ft1g,2021-10-08T16:12:24.040Z,"100 km ENE of Pangai, Tonga",earthquake,16.2,1.9,0.103,29,reviewed,us,us
2021-10-08T13:24:14.677Z,-6.076,151.7018,10,4.9,mb,,128,12.262,1.04,us,us6000fsyn,2021-10-08T15:40:26.040Z,"182 km ESE of Kimbe, Papua New Guinea",earthquake,14,1.9,0.08,49,reviewed,us,us
2021-10-08T10:04:53.941Z,4.4084,95.4031,64.27,5.2,mb,,107,1.741,1.06,us,us6000fsxi,2021-10-08T12:02:55.045Z,"85 km WNW of Meulaboh, Indonesia",earthquake,8.4,6.9,0.053,120,reviewed,us,us
2021-10-08T09:27:58.627Z,-49.1481,124.8392,10,4.6,mb,,116,17.174,0.52,us,us6000fsxe,2021-10-08T10:28:47.040Z,"western Indian-Antarctic Ridge",earthquake,7.6,1.9,0.129,18,reviewed,us,us
2021-10-08T06:43:07.608Z,-23.9165,-66.7708,203.9,4.5,mb,,70,1.61,0.61,us,us6000fswp,2021-10-08T06:57:56.040Z,"56 km NW of San Antonio de los Cobres, Argentina",earthquake,9.4,7.6,0.14,15,reviewed,us,us
2021-10-07T20:13:01.156Z,-58.7534,158.6288,10,5.9,mwb,,26,4.269,1.06,us,us6000fssl,2021-10-09T18:18:45.842Z,"Macquarie Island region",earthquake,10,1.7,0.035,79,reviewed,us,us
2021-10-07T18:28:03.697Z,22.3148,94.7755,110,5.5,mww,,23,1.135,0.8,us,us6000fsrg,2021-10-09T17:45:07.935Z,"43 km WNW of Monywa, Myanmar",earthquake,5.9,1.9,0.056,31,reviewed,us,us
2021-10-07T18:14:54.076Z,13.9481,120.713,158.73,5.3,mww,,46,8.984,1.35,us,us6000fsrb,2021-10-09T13:42:49.059Z,"2 km WNW of Balayan, Philippines",earthquake,9.4,4.8,0.051,37,reviewed,us,us
2021-10-07T17:56:15.132Z,-55.7228,-26.4592,10,5.3,mww,,47,5.949,0.67,us,us6000fsr4,2021-10-09T13:32:09.906Z,"South Sandwich Islands region",earthquake,9.8,1.8,0.078,16,reviewed,us,us
2021-10-07T13:41:24.549Z,35.5771,140.0698,62,5.9,mww,,29,1.788,1.12,us,us6000fsl6,2021-10-11T16:57:20.517Z,"4 km WSW of Chiba, Japan",earthquake,6,1.9,0.055,32,reviewed,us,us
2021-10-07T05:13:01.266Z,-8.2851,119.5236,186.86,4.9,mb,,61,2.707,1.11,us,us6000fsir,2021-10-07T05:39:14.040Z,"33 km N of Komodo, Indonesia",earthquake,7.8,6.9,0.091,38,reviewed,us,us
2021-10-07T04:18:42.590Z,24.5198,122.5545,81.13,4.9,mb,,69,0.419,0.43,us,us6000fsik,2021-10-10T20:49:30.040Z,"45 km W of Yonakuni, Japan",earthquake,4.2,5.5,0.074,60,reviewed,us,us
2021-10-07T01:05:40.236Z,-6.8531,105.0465,35,4.6,mb,,72,2.653,0.95,us,us6000fshw,2021-10-08T04:00:25.040Z,"101 km WSW of Labuan, Indonesia",earthquake,6.8,1.9,0.112,24,reviewed,us,us
2021-10-07T00:09:20.289Z,-39.2177,174.7641,218.19,4.6,mb,,71,0.707,0.69,us,us6000fshg,2021-10-07T18:56:45.255Z,"46 km ENE of Eltham, New Zealand",earthquake,6.7,5.3,0.116,22,reviewed,us,us
2021-10-07T00:00:57.282Z,30.1172,68.0341,10,4.6,mb,,100,4.492,0.87,us,us6000fshe,2021-10-07T06:43:26.631Z,"9 km E of Harnai, Pakistan",earthquake,10.1,1.9,0.076,51,reviewed,us,us
2021-10-06T23:40:21.654Z,2.5792,128.336,175.97,4.5,mb,,116,2.04,0.62,us,us6000fsh4,2021-10-07T00:46:21.040Z,"100 km NNE of Tobelo, Indonesia",earthquake,10.5,8.7,0.09,36,reviewed,us,us
2021-10-06T23:38:09.136Z,-25.228,-64.5252,10,5,mb,,49,4.034,1.17,us,us6000fsh2,2021-10-09T01:00:30.859Z,"21 km NE of El Galpón, Argentina",earthquake,6.9,1.9,0.035,261,reviewed,us,us
2021-10-06T22:44:58.266Z,-5.0888,146.3141,10,4.6,mb,,62,3.202,0.63,us,us6000fsgh,2021-10-06T23:05:24.040Z,"60 km ENE of Madang, Papua New Guinea",earthquake,10.2,1.9,0.116,22,reviewed,us,us
2021-10-06T22:01:08.730Z,30.2198,68.015,9,5.9,mww,,23,4.395,0.74,us,us6000fsg9,2021-10-10T06:22:12.250Z,"15 km NNE of Harnai, Pakistan",earthquake,8.8,1.8,0.098,10,reviewed,us,us
2021-10-06T20:41:17.592Z,-23.0386,173.081,10,4.5,mb,,132,5.215,1.02,us,us6000fsg3,2021-10-09T21:50:25.040Z,"southeast of the Loyalty Islands",earthquake,4.1,1.9,0.131,17,reviewed,us,us
