Time,Magnitude,Location,,
2021-10-10T22:23:15.030Z,2.88, Hawaii,,
2021-10-10T22:30:11.720Z,2.59, Hawaii,,
2021-10-10T22:45:47.790Z,3.25, Hawaii,,
2021-10-10T22:55:28.710Z,2.87, Hawaii,,
2021-10-10T23:04:10.136Z,2.8, USA,,
2021-10-10T23:06:08.040Z,2.52, Hawaii,,
2021-10-10T23:21:45.259Z,4.4, Argentina,,
2021-10-10T23:24:53.730Z,2.54, Hawaii,,
2021-10-11T00:16:10.014Z,2.8, USA,,
2021-10-11T01:01:35.970Z,2.5, Hawaii,,
2021-10-11T01:29:15.710Z,2.95, Hawaii,,
2021-10-11T01:48:29.200Z,2.6, Hawaii,,
2021-10-11T02:14:50.734Z,4.5, Chile,,
2021-10-11T03:09:54.652Z,4.8, Indonesia,,
2021-10-11T03:18:39.670Z,2.53, Hawaii,,
2021-10-11T03:53:41.602Z,2.6, USA,,
2021-10-11T04:32:40.889Z,4.2, Costa Rica,,
2021-10-11T04:43:57.620Z,3.05, Hawaii,,
2021-10-11T05:45:35.419Z,2.5, USA,,
2021-10-11T06:04:56.160Z,2.7, USA,,
2021-10-11T06:08:15.190Z,2.7, USA,,
2021-10-11T06:18:31.168Z,3.7, USA,,
2021-10-11T07:45:10.332Z,4.5, Papua New Guinea,,
2021-10-11T08:00:11.840Z,3.05, Hawaii,,
2021-10-11T08:30:08.676Z,4.1, Colombia,,
2021-10-11T09:10:24.682Z,6.9, USA,,
2021-10-11T09:26:21.324Z,3.3, USA,,
2021-10-11T09:28:47.182Z,2.9, USA,,
2021-10-11T09:30:52.082Z,3.2, USA,,
2021-10-11T09:44:39.191Z,2.7, USA,,
2021-10-11T10:13:09.007Z,3.2, USA,,
2021-10-11T12:04:50.508Z,3.3, USA,,
2021-10-11T12:24:45.228Z,3.3, USA,,
2021-10-11T12:34:32.285Z,5.7, Indonesia,,
2021-10-11T12:50:36.786Z,4.2, Greece,,
2021-10-11T13:59:31.772Z,3.5, USA,,
2021-10-11T14:12:53.807Z,2.6, USA,,
2021-10-11T15:13:32.281Z,4.2, Chile,,
2021-10-11T15:27:49.072Z,5.1, Indonesia,,
2021-10-11T15:56:45.270Z,3.43, Puerto Rico,,
2021-10-11T16:28:28.786Z,2.9, USA,,
2021-10-11T16:49:19.275Z,4.3, Tonga,,
2021-10-11T17:30:29.810Z,5, Indonesia,,
2021-10-11T17:56:24.271Z,3.5, USA,,
2021-10-11T18:25:48.424Z,4.9, USA,,
2021-10-11T19:35:57.427Z,2.9, USA,,
2021-10-11T19:40:25.274Z,4.1, USA,,
2021-10-11T20:35:40.420Z,2.73, USA,,
2021-10-11T20:38:55.100Z,2.71, USA,,
2021-10-11T22:49:02.821Z,2.7, New Mexico,,
2021-10-11T23:14:47.140Z,3.08, USA,,
2021-10-11T23:30:05.950Z,3.8, Dominican Republic,,
2021-10-11T23:30:21.884Z,5, Philippines,,
2021-10-12T00:00:19.430Z,2.59, Hawaii,,
2021-10-12T00:31:53.973Z,4.6, India,,
2021-10-12T00:48:50.115Z,4.1, Mexico,,
2021-10-12T00:54:12.913Z,3.3, USA,,
2021-10-12T03:19:00.492Z,5.2, Japan,,
2021-10-12T03:32:09.337Z,2.6, New Mexico,,
2021-10-12T03:35:43.515Z,4.9, Japan,,
2021-10-12T03:59:50.470Z,4.6, Vanuatu,,
2021-10-12T04:00:04.927Z,4.9, Peru,,
2021-10-12T04:09:48.300Z,2.79, Hawaii,,
