time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2021-10-11T19:08:06.000Z,38.5398333,-119.4116667,1.88,0.9,md,7,154,0.04113,0.08,nc,nc73638390,2021-10-11T19:41:10.565Z,"28km SSW of Smith Valley, NV",earthquake,0.34,1.22,0.06,6,reviewed,nc,nc
2021-10-11T19:07:41.639Z,59.5437,-152.6143,75.6,2,ml,,,,0.35,ak,ak021d1zzdxy,2021-10-11T19:21:19.525Z,"44 km WNW of Nanwalek, Alaska",earthquake,,0.6,,,automatic,ak,ak
2021-10-11T19:01:35.580Z,46.0143333,-112.4691667,-2,1.63,ml,13,112,0.061,0.12,mb,mb80526799,2021-10-11T19:42:32.570Z,"5 km ENE of Butte, Montana",quarry blast,0.35,31.61,0.264,6,reviewed,mb,mb
2021-10-11T18:57:35.259Z,36.44233333,-98.8725,0,0.76,ml,15,170,0.05848852256,0.48,ok,ok2021tymw,2021-10-11T19:10:45.698Z,"15 km S of Waynoka, Oklahoma",quarry blast,,0.7,0.2,7,reviewed,ok,ok
2021-10-11T18:50:42.730Z,38.8231667,-122.8576667,2.4,-0.07,md,17,70,0.004416,0.03,nc,nc73638385,2021-10-11T21:19:40.049Z,"10km WNW of The Geysers, CA",earthquake,0.27,0.56,0.101,2,reviewed,nc,nc
2021-10-11T18:43:35.790Z,33.5153333,-116.548,3.67,0.26,ml,9,170,0.04439,0.12,ci,ci40067992,2021-10-11T19:30:30.863Z,"12km ESE of Anza, CA",earthquake,0.36,0.76,0.058,1,reviewed,ci,ci
2021-10-11T18:31:30.623Z,60.5376,-150.7606,50,1.9,ml,,,,0.65,ak,ak021d1zj2q5,2021-10-11T18:35:43.311Z,"0 km E of Sterling, Alaska",earthquake,,0.7,,,automatic,ak,ak
2021-10-11T18:29:40.610Z,38.8330002,-122.8164978,1.62,0.85,md,10,88,0.01082,0.01,nc,nc73638375,2021-10-11T18:56:11.938Z,"8km NW of The Geysers, CA",earthquake,0.39,0.87,,1,automatic,nc,nc
2021-10-11T18:27:27.160Z,38.8218346,-122.8291702,1.65,0.36,md,7,104,0.004753,0.01,nc,nc73638370,2021-10-11T18:43:11.785Z,"8km NW of The Geysers, CA",earthquake,0.41,1.07,,1,automatic,nc,nc
2021-10-11T18:27:20.000Z,35.8996667,-117.6943333,4.3,0.87,ml,7,151,0.05991,0.09,ci,ci40067960,2021-10-11T19:20:57.134Z,"20km ESE of Little Lake, CA",earthquake,0.28,0.42,0.162,4,reviewed,ci,ci
2021-10-11T18:25:48.424Z,51.4765,-174.4297,35,4.9,mb,,143,0.824,0.8,us,us6000ftru,2021-10-11T19:21:39.040Z,"81 km S of Atka, Alaska",earthquake,1.8,2,0.035,268,reviewed,us,us
2021-10-11T18:18:33.740Z,33.85,-117.499,-0.53,1.75,ml,40,32,0.05545,0.22,ci,ci40067952,2021-10-11T20:11:16.673Z,"4km SSE of Home Gardens, CA",quarry blast,0.33,31.61,0.19,13,reviewed,ci,ci
2021-10-11T18:05:05.107Z,62.1584,-149.3945,43.5,1.7,ml,,,,1.09,ak,ak021d1zdg3p,2021-10-11T18:09:49.150Z,"23 km E of Susitna North, Alaska",earthquake,,1,,,automatic,ak,ak
2021-10-11T18:01:18.984Z,59.9763,-153.4242,141.9,2.2,ml,,,,0.53,ak,ak021d1zcmbe,2021-10-11T18:05:27.962Z,"43 km ENE of Pedro Bay, Alaska",earthquake,,0.9,,,automatic,ak,ak
2021-10-11T17:56:24.271Z,56.3127,-156.5448,40.2,3.5,ml,,,,0.63,ak,ak021d1z2zhz,2021-10-11T19:48:10.040Z,"115 km E of Chignik, Alaska",earthquake,,2.4,,,automatic,ak,ak
2021-10-11T17:48:44.940Z,36.0071667,-117.796,1.6,0.76,ml,9,68,0.02674,0.08,ci,ci40067944,2021-10-11T19:29:00.187Z,"13km NE of Little Lake, CA",earthquake,0.17,0.25,0.404,2,reviewed,ci,ci
2021-10-11T17:45:35.380Z,60.6432,-149.5913,30.7,1.7,ml,,,,0.36,ak,ak021d1z0nhi,2021-10-11T17:52:15.986Z,"21 km NW of Moose Pass, Alaska",earthquake,,0.2,,,automatic,ak,ak
2021-10-11T17:43:18.960Z,38.8214989,-122.7429962,5.65,1.19,md,7,159,0.02285,0.05,nc,nc73638365,2021-10-11T21:10:12.465Z,"2km W of Cobb, CA",earthquake,1.43,2.31,,1,automatic,nc,nc
2021-10-11T17:38:14.490Z,39.5065,-122.9721667,6.84,2.03,md,22,73,,0.15,nc,nc73638360,2021-10-11T21:29:16.650Z,"11km N of Lake Pillsbury, CA",earthquake,0.29,1.16,0.153,22,reviewed,nc,nc
2021-10-11T17:30:29.810Z,0.8374,126.132,24.97,5,mb,,40,1.236,0.78,us,us6000ftrd,2021-10-11T17:57:47.040Z,"139 km W of Ternate, Indonesia",earthquake,6,4.7,0.06,95,reviewed,us,us
2021-10-11T17:01:39.942Z,62.0479,-148.6079,39.2,1.4,ml,,,,0.53,ak,ak021d1yr8bm,2021-10-11T17:06:40.729Z,"29 km NNW of Chickaloon, Alaska",earthquake,,0.8,,,automatic,ak,ak
2021-10-11T16:58:32.854Z,59.6713,-152.7332,78.7,1.7,ml,,,,0.34,ak,ak021d1yhzzr,2021-10-11T17:02:50.017Z,"52 km WSW of Anchor Point, Alaska",earthquake,,0.6,,,automatic,ak,ak
2021-10-11T16:52:12.410Z,38.4685,-119.5153333,5.71,1.07,md,12,135,0.02961,0.08,nc,nc73638340,2021-10-11T19:13:11.021Z,"31km ENE of Dardanelle, CA",earthquake,0.39,0.41,0.067,6,reviewed,nc,nc
2021-10-11T16:49:19.275Z,-16.9151,-174.4018,253.35,4.3,mb,,124,3.913,0.44,us,us6000fts2,2021-10-11T21:32:14.040Z,"124 km SSW of Hihifo, Tonga",earthquake,11.8,7.9,0.111,24,reviewed,us,us
2021-10-11T16:45:03.149Z,65.787,-149.6812,10.7,1.7,ml,,,,0.66,ak,ak021d1yf5e7,2021-10-11T16:49:58.299Z,"36 km SW of Stevens Village, Alaska",earthquake,,0.2,,,automatic,ak,ak
2021-10-11T16:35:48.292Z,-7.4993,128.1518,156.16,4.4,mb,,39,3.155,0.69,us,us6000ftr4,2021-10-11T17:09:16.040Z,"170 km NE of Lospalos, Timor Leste",earthquake,8,7.7,0.107,28,reviewed,us,us
2021-10-11T16:35:46.820Z,35.677,-117.5033333,9.74,1.17,ml,11,142,0.09632,0.1,ci,ci40067904,2021-10-11T18:00:56.718Z,"14km SW of Searles Valley, CA",earthquake,0.49,0.64,0.303,3,reviewed,ci,ci
2021-10-11T16:28:28.786Z,61.8777,-149.3333,0.2,2.9,ml,,,,0.87,ak,ak021d1ybk5z,2021-10-11T16:58:38.040Z,"15 km NNW of Fishhook, Alaska",earthquake,,0.3,,,automatic,ak,ak
2021-10-11T16:13:17.730Z,38.8274994,-122.8130035,2,1.96,md,29,41,0.004694,0.04,nc,nc73638325,2021-10-11T18:43:10.785Z,"7km NW of The Geysers, CA",earthquake,0.18,0.36,0.07,9,automatic,nc,nc
2021-10-11T15:56:45.270Z,18.79,-65.3805,11,3.43,md,16,269,0.4923,0.33,pr,pr2021284000,2021-10-11T16:57:35.163Z,"54 km N of Culebra, Puerto Rico",earthquake,6.41,9.23,0.14,11,reviewed,pr,pr
