imdb_title_id,title,director,avg_vote,,,year,genre,worlwide_gross_income,metascore,original_title,date_published,duration,country,language,writer,production_company,actors,description,votes,budget,usa_gross_income,reviews_from_users,reviews_from_critics
tt0118749,Boogie Nights - L'altra Hollywood,Paul Thomas Anderson,7.9,85.0,8.4,1997,Drama,$43101594.00,85.0,Boogie Nights,1998-02-26,155,USA,English,Paul Thomas Anderson,New Line Cinema,"Luis Guzmán, Burt Reynolds, Julianne Moore, Rico Bueno, John C. Reilly, Nicole Ari Parker, Don Cheadle, Heather Graham, Mark Wahlberg, William H. Macy, Samson Barkhordarian, Nina Hartley, Brad Braeden, Joanna Gleason, Lawrence Hudd",The story of a young man's adventures in the California pornography industry of the late 1970s and early 1980s.,233772,$15000000.00,$26400640.00,605.0,185.0
tt0119256,Sydney,Paul Thomas Anderson,7.2,78.0,7.2,1996,"Crime, Drama",$222559.00,78.0,Hard Eight,1997-06-21,102,USA,English,Paul Thomas Anderson,Green Parrot,"Philip Baker Hall, John C. Reilly, Gwyneth Paltrow, Samuel L. Jackson, F. William Parker, Philip Seymour Hoffman, Nathanael Cooper, Wynn White, Robert Ridgely, Kathleen Campbell, Michael J. Rowe, Peter D'Allesandro, Steve Blane, Xaleese, Melora Walters",Professional gambler Sydney teaches John the tricks of the trade. John does well until he falls for cocktail waitress Clementine.,40454,$3000000.00,$222559.00,167.0,75.0
tt0175880,Magnolia,Paul Thomas Anderson,8.0,77.0,8.2,1999,Drama,$48451803.00,77.0,Magnolia,2000-03-17,188,USA,"English, German, French",Paul Thomas Anderson,Ghoulardi Film Company,"Pat Healy, Genevieve Zweig, Mark Flanagan, Neil Flynn, Rod McLachlan, Allan Graf, Patton Oswalt, Raymond 'Big Guy' Gonzales, Brad Hunt, Jim Meskimen, Chris O'Hara, Clement Blake, Frank Elmore, John Kraft Seitz, Cory Buck","An epic mosaic of interrelated characters in search of love, forgiveness, and meaning in the San Fernando Valley.",284687,$37000000.00,$22455976.00,1508.0,219.0
tt0272338,Ubriaco d'amore,Paul Thomas Anderson,7.3,78.0,8.0,2002,"Comedy, Drama, Romance",$24665649.00,78.0,Punch-Drunk Love,2003-03-21,95,USA,English,Paul Thomas Anderson,New Line Cinema,"Adam Sandler, Jason Andrews, Don McManus, Emily Watson, Luis Guzmán, David Schrempf, Seann Conway, Rico Bueno, Hazel Mailloux, Karen Kilgariff, Julie Hermelin, Salvador Curiel, Jorge Barahona, Ernesto Quintero, Julius Steuer","A psychologically troubled novelty supplier is nudged towards a romance with an English woman, all the while being extorted by a phone-sex line run by a crooked mattress salesman, and purchasing stunning amounts of pudding.",144254,$25000000.00,$17844216.00,952.0,268.0
tt0469494,Il petroliere,Paul Thomas Anderson,8.2,93.0,8.8,2007,Drama,$76181545.00,93.0,There Will Be Blood,2008-02-15,158,USA,"English, American Sign Language","Paul Thomas Anderson, Upton Sinclair",Paramount Vantage,"Daniel Day-Lewis, Martin Stringer, Matthew Braden Stringer, Jacob Stringer, Joseph Mussey, Barry Del Sherman, Harrison Taylor, Stockton Taylor, Paul F. Tompkins, Dillon Freasier, Kevin Breznahan, Jim Meskimen, Erica Sullivan, Randall Carver, Coco Leigh","A story of family, religion, hatred, oil and madness, focusing on a turn-of-the-century prospector in the early days of the business.",502968,$25000000.00,$40222514.00,1327.0,344.0
tt1560747,The Master,Paul Thomas Anderson,7.2,86.0,8.0,2012,Drama,$28258060.00,86.0,The Master,2013-01-03,138,USA,"English, Filipino",Paul Thomas Anderson,The Weinstein Company,"Joaquin Phoenix, Price Carson, Mike Howard, Sarah Shoshana David, Bruce Goodchild, Matt Hering, Dan Anderson, Andrew Koponen, Jeffrey W. Jenkins, Patrick Wilder, Ryan Curtis, Jay Laurence, Abraxas Adams, Tina Bruna, Kevin Hudnell",A Naval veteran arrives home from war unsettled and uncertain of his future - until he is tantalized by the Cause and its charismatic leader.,150274,$32000000.00,$16377274.00,516.0,503.0
tt1791528,Vizio di forma,Paul Thomas Anderson,6.7,81.0,7.2,2014,"Comedy, Crime, Drama",$14710975.00,81.0,Inherent Vice,2015-02-26,148,USA,"English, Japanese","Paul Thomas Anderson, Thomas Pynchon",Ghoulardi Film Company,"Joanna Newsom, Katherine Waterston, Joaquin Phoenix, Jordan Christian Hearn, Taylor Bonin, Jeannie Berlin, Josh Brolin, Eric Roberts, Serena Scott Thomas, Maya Rudolph, Martin Dew, Michael Kenneth Williams, Hong Chau, Shannon Collis, Christopher Allen Nelson","In 1970, drug-fueled Los Angeles private investigator Larry ""Doc"" Sportello investigates the disappearance of a former girlfriend.",92362,$20000000.00,$8110975.00,301.0,437.0
tt5776858,Il filo nascosto,Paul Thomas Anderson,7.5,90.0,8.0,2017,"Drama, Romance",$47756590.00,90.0,Phantom Thread,2018-02-22,130,"USA, UK","English, French",Paul Thomas Anderson,Focus Features,"Vicky Krieps, Daniel Day-Lewis, Lesley Manville, Julie Vollono, Sue Clark, Joan Brown, Harriet Leitch, Dinah Nicholson, Julie Duck, Maryanne Frost, Elli Banks, Amy Cunningham, Amber Brabant, Geneva Corlett, Juliet Glaves","Set in 1950s London, Reynolds Woodcock is a renowned dressmaker whose fastidious life is disrupted by a young, strong-willed woman, Alma, who becomes his muse and lover.",106231,$35000000.00,$21198205.00,501.0,437.0
